WKT,region,description
"POLYGON ((139.6940877 35.6662283, 139.697521 35.6670651, 139.7001817 35.6684597, 139.7014692 35.6692964, 139.7001817 35.6709699, 139.6969201 35.6721553, 139.6951177 35.6748048, 139.6929719 35.6738984, 139.6915986 35.6725039, 139.691427 35.6687386, 139.6940877 35.6662283))",1,
"POLYGON ((139.705589 35.6885392, 139.7042158 35.6867964, 139.7044732 35.6851233, 139.7067907 35.6835198, 139.7097089 35.6818466, 139.7129705 35.6812191, 139.7156312 35.6826135, 139.7146871 35.6849838, 139.7152021 35.6869358, 139.7096231 35.6874238, 139.7069623 35.6886786, 139.705589 35.6885392))",2,
"POLYGON ((139.7206952 35.6780818, 139.7224119 35.6747351, 139.7244718 35.67348, 139.7313383 35.6749443, 139.7321966 35.6761993, 139.7327115 35.679267, 139.7308233 35.681986, 139.7290208 35.6831015, 139.7271325 35.6812889, 139.7249868 35.6791276, 139.7206952 35.6780818))",3,
"POLYGON ((139.746187 35.6877724, 139.7455003 35.6835198, 139.7468736 35.6812889, 139.7504785 35.6781515, 139.7560575 35.6779423, 139.7595765 35.6835895, 139.7606923 35.6877027, 139.7596624 35.6898637, 139.7570875 35.6900031, 139.7527101 35.6895152, 139.7504785 35.6887483, 139.746187 35.6877724))",4,
